Ticker,Status,Rev_YoY_Q1,Rev_YoY_Q2,Rev_YoY_Q3,NPM_Q1,NPM_Q2,NPM_Q3,Source
TBBB,INSUFFICIENT,,,33.44,-7.02,-4.74,-2.44,rev:FMP|EDGAR|ni:FMP|EDGAR
WULF,RED,33.71,60.15,-25.43,-38.66,-1048.62,-485.06,rev:secfsdstools|ni:secfsdstools
CNC,RED,18.05,21.68,23.23,-0.6,-14.77,-2.46,rev:secfsdstools|ni:secfsdstools
MIRM,RED,64.06,47.12,49.8,-4.62,2.18,-3.83,rev:secfsdstools|ni:secfsdstools
PII,RED,-5.53,6.92,9.49,-4.28,-0.86,-15.8,rev:secfsdstools|ni:secfsdstools
UCTT,RED,0.52,-5.63,-10.08,-31.23,-2.14,-0.65,rev:secfsdstools|ni:secfsdstools
AOSL,RED,9.42,0.33,-6.29,-43.68,-1.15,-8.19,rev:secfsdstools|ni:secfsdstools
VIAV,RED,15.28,25.57,36.37,2.75,-7.15,-13.02,rev:secfsdstools|ni:secfsdstools
PRM,RED,27.73,9.36,19.26,-19.8,-28.76,-136.38,rev:secfsdstools|ni:secfsdstools
PK,RED,-2.04,-6.01,0.64,-0.74,-2.62,-32.59,rev:secfsdstools|ni:secfsdstools
AXGN,RED,18.37,23.66,21.26,1.06,1.16,-22.04,rev:secfsdstools|ni:secfsdstools
ICHR,RED,18.26,13.36,-4.16,-3.91,-9.57,-7.16,rev:secfsdstools|ni:secfsdstools
IVZ,RED,2.17,8.25,6.21,13.03,21.73,-53.17,rev:secfsdstools|ni:secfsdstools
BC,RED,0.21,6.82,15.49,4.1,-17.31,1.4,rev:secfsdstools|ni:secfsdstools
OPLN,RED,11.56,11.15,0.47,6.93,9.61,12.04,rev:secfsdstools|ni:secfsdstools
TH,RED,-18.67,39.21,22.09,-27.14,-0.87,-20.27,rev:secfsdstools|ni:secfsdstools
HLIT,RED,9.01,-0.5,-27.27,4.43,2.1,1.9,rev:secfsdstools|ni:secfsdstools
MEC,RED,-19.13,6.57,10.72,-0.83,-1.87,-3.28,rev:secfsdstools|ni:secfsdstools
MIDD,RED,-1.37,4.17,-67.0,10.84,-52.24,11.03,rev:secfsdstools|ni:secfsdstools
AEHR,RED,-15.06,-16.03,-26.67,-20.57,-19.09,-32.32,rev:secfsdstools|ni:secfsdstools
BRKR,RED,-0.41,-0.45,-0.24,0.95,-6.93,2.66,rev:secfsdstools|ni:secfsdstools
WERN,RED,-1.01,3.46,-2.27,5.86,-2.67,-3.77,rev:secfsdstools|ni:secfsdstools
RMIX,INSUFFICIENT,,,,,,8.51,rev:FMP|EDGAR|ni:FMP|EDGAR
SYNA,RED,14.31,13.5,13.21,-1.66,-7.04,-4.89,rev:secfsdstools|ni:secfsdstools
GTLS,RED,4.04,3.59,-2.46,7.03,-12.58,4.96,rev:secfsdstools|ni:secfsdstools
CZR,RED,2.72,-0.17,4.18,-2.82,-1.92,-8.57,rev:secfsdstools|ni:secfsdstools
CDNA,RED,-6.07,20.75,25.17,-9.92,1.7,-3.78,rev:secfsdstools|ni:secfsdstools
CWAN,RED,70.32,77.12,71.94,-12.75,-5.02,-5.43,rev:secfsdstools|ni:secfsdstools
QUIK,RED,-9.76,-53.49,-35.09,-72.97,-200.0,-159.46,rev:secfsdstools|ni:secfsdstools
ROIV,RED,-96.01,-64.44,-77.78,-10154.55,-7093.75,-13295.0,rev:secfsdstools|ni:secfsdstools
CROX,RED,3.41,-6.2,-3.25,-42.83,14.63,10.99,rev:secfsdstools|ni:secfsdstools
H,RED,6.17,9.64,11.67,-0.17,-2.74,-1.12,rev:secfsdstools|ni:secfsdstools
JAZZ,RED,2.14,6.74,10.08,-68.71,22.32,16.99,rev:secfsdstools|ni:secfsdstools
LPTH,RED,41.86,79.76,121.62,-58.2,-19.21,-57.32,rev:secfsdstools|ni:secfsdstools
